model,fold,month_date,n,event_count,event_rate,pred_mean,brier,log_loss,predicted_defaults,count_error,absolute_count_error
macro_logit,origin_2023_04,2024-02-01,225349,1626,0.007215474663743793,0.014155300587756513,0.006392825090491713,0.035023063273204154,3189.8828321503424,1563.8828321503424,1563.8828321503424
macro_logit,origin_2023_04,2024-03-01,227891,1652,0.0072490796038456986,0.013526436430490887,0.0063825027452368175,0.034720478980884754,3082.553124580999,1430.5531245809989,1430.5531245809989
regime_aware_logit,origin_2023_04,2023-04-01,200066,1117,0.005583157558005858,0.007426486095420567,0.005235619855068312,0.02825513384890221,1485.787367166411,368.78736716641106,368.78736716641106
regime_aware_logit,origin_2023_04,2023-05-01,202454,1134,0.005601272387801674,0.007699621858690531,0.005218501008260593,0.02835180722181632,1558.8192437793327,424.81924377933274,424.81924377933274
regime_aware_logit,origin_2023_04,2023-06-01,205586,1185,0.0057640111680756475,0.008225987869752385,0.0054170284145883645,0.02924849539315553,1691.147942190914,506.1479421909139,506.1479421909139
regime_aware_logit,origin_2023_04,2023-07-01,208458,1236,0.005929251935641712,0.008623887006402396,0.005522360665386961,0.02972808926869967,1797.7182375806306,561.7182375806306,561.7182375806306
regime_aware_logit,origin_2023_04,2023-08-01,211302,1256,0.0059440989673547814,0.01660333776635525,0.006019305577144124,0.03612996913032694,3508.318476706397,2252.318476706397,2252.318476706397
regime_aware_logit,origin_2023_04,2023-09-01,214272,1322,0.006169728195937874,0.021425067908686223,0.006712301460683483,0.040851833113589725,4590.792150930014,3268.792150930014,3268.792150930014
regime_aware_logit,origin_2023_04,2023-10-01,216233,1379,0.006377379955880925,0.02262384008265982,0.006999929020872137,0.0422646995409962,4892.020812593781,3513.0208125937806,3513.0208125937806
regime_aware_logit,origin_2023_04,2023-11-01,219245,1412,0.006440283700882574,0.024324304887848234,0.007245971639459042,0.04365634937934007,5332.982225136286,3920.9822251362857,3920.9822251362857
regime_aware_logit,origin_2023_04,2023-12-01,221251,1516,0.006851946431880534,0.02596368662199694,0.007712076432048487,0.045908223421936886,5744.491628803445,4228.491628803445,4228.491628803445
regime_aware_logit,origin_2023_04,2024-01-01,223304,1595,0.007142729194282234,0.027111279208342887,0.008222236046052532,0.04840744102734574,6054.0570923398,4459.0570923398,4459.0570923398
regime_aware_logit,origin_2023_04,2024-02-01,225349,1626,0.007215474663743793,0.028272269838239238,0.008441629226319925,0.049519679716004746,6371.127735777374,4745.127735777374,4745.127735777374
regime_aware_logit,origin_2023_04,2024-03-01,227891,1652,0.0072490796038456986,0.029255325872033035,0.008581718927235419,0.05040519972411649,6667.02546830348,5015.02546830348,5015.02546830348
