model,split,test_month,n,observed_defaults,predicted_defaults,count_error,absolute_count_error,relative_count_error,absolute_relative_count_error,observed_default_rate,predicted_default_rate,count_error_rate,absolute_count_error_rate,p_stress_mean,hard_stress_share
macro_logit,test,2023-08,211302,1256.0,4354.980745973664,3098.980745973664,3098.980745973664,2.4673413582592865,2.4673413582592865,0.0059440989673547814,0.02061022018709555,0.01466612121974077,0.01466612121974077,0.9999999999215948,1.0
macro_logit,test,2023-09,214272,1322.0,2001.9373166510763,679.9373166510763,679.9373166510763,0.5143247478449897,0.5143247478449897,0.006169728195937874,0.009342972094585743,0.0031732438986478697,0.0031732438986478697,0.999999999776407,1.0
macro_logit,test,2023-10,216233,1379.0,1057.1983390049274,-321.80166099507255,321.80166099507255,-0.23335870993116212,0.23335870993116212,0.006377379955880925,0.004889162796635701,-0.0014882171592452242,0.0014882171592452242,0.9999999999985208,1.0
macro_logit,test,2023-11,219245,1412.0,495.9565247841759,-916.0434752158242,916.0434752158242,-0.6487560022774959,0.6487560022774959,0.006440283700882574,0.0022621109935650795,-0.004178172707317495,0.004178172707317495,0.9999998574907759,1.0
macro_logit,test,2023-12,221251,1516.0,936.6839415044603,-579.3160584955397,579.3160584955397,-0.3821346032292478,0.3821346032292478,0.006851946431880534,0.0042335806007858055,-0.002618365831094728,0.002618365831094728,0.999936355129158,1.0
macro_logit,test,2024-01,223304,1595.0,2929.864883219302,1334.864883219302,1334.864883219302,0.8369058828961141,0.8369058828961141,0.007142729194282234,0.013120521276910857,0.0059777920826286236,0.0059777920826286236,0.999999365530501,1.0
macro_logit,test,2024-02,225349,1626.0,3671.2272181977087,2045.2272181977087,2045.2272181977087,1.2578273174647654,1.2578273174647654,0.007215474663743793,0.01629129580427563,0.009075821140531836,0.009075821140531836,0.9999999754984987,1.0
macro_logit,test,2024-03,227891,1652.0,3514.9828677834957,1862.9828677834957,1862.9828677834957,1.1277136003532056,1.1277136003532056,0.0072490796038456986,0.01542396526314552,0.008174885659299823,0.008174885659299823,0.999999790387866,1.0
macro_logit,test,2024-04,230753,1700.0,2276.353267206335,576.3532672063352,576.3532672063352,0.3390313336507854,0.3390313336507854,0.007367184825332715,0.009864891321917094,0.002497706496584379,0.002497706496584379,0.9999999993852525,1.0
macro_logit,test,2024-05,232956,1748.0,1227.849879087676,-520.1501209123239,520.1501209123239,-0.29756871905739357,0.29756871905739357,0.007503562904582839,0.005270737302699549,-0.002232825601883291,0.002232825601883291,0.9999999930838859,1.0
macro_logit,test,2024-06,234904,1761.0,910.9040803909861,-850.0959196090139,850.0959196090139,-0.482734764116419,0.482734764116419,0.00749667949460205,0.003877771687118934,-0.003618907807483116,0.003618907807483116,0.99999977885505,1.0
macro_logit,test,2024-07,236800,1771.0,1287.3684312592786,-483.6315687407214,483.6315687407214,-0.2730838897463136,0.2730838897463136,0.007478885135135135,0.005436522091466548,-0.0020423630436685867,0.0020423630436685867,0.9999999069530472,1.0
macro_logit,test,2024-08,238580,1793.0,1724.7726054104241,-68.22739458957585,68.22739458957585,-0.038052088449289374,0.038052088449289374,0.007515298851538268,0.007229326034916691,-0.00028597281662157706,0.00028597281662157706,0.9999330869848196,1.0
macro_logit,test,2024-09,240701,1784.0,2856.731737511653,1072.7317375116531,1072.7317375116531,0.6013070277531688,0.6013070277531688,0.0074116850366221995,0.01186838333663613,0.004456698300013931,0.004456698300013931,0.9999029286634968,1.0
