fold,model,feature,standardized_coefficient
origin_2023_04,baseline_logit,delinquent_60_months_3m,-0.03351457789540291
origin_2023_04,baseline_logit,delinquent_60_months_6m,0.03774376958608627
origin_2023_04,baseline_logit,delinquent_60_months_12m,-0.37169215083122253
origin_2023_04,baseline_logit,cured_from_30_dpd,0.011314662173390388
origin_2023_04,baseline_logit,cumulative_30_dpd_cures,-0.005653358530253172
origin_2023_04,baseline_logit,months_since_30_dpd_cure,0.3910110890865326
origin_2023_04,macro_logit,credit_score,-0.9999923706054688
origin_2023_04,macro_logit,mi_percent,0.09444071352481842
origin_2023_04,macro_logit,number_of_units,0.039415497332811356
origin_2023_04,macro_logit,original_cltv,0.07321150600910187
origin_2023_04,macro_logit,original_dti,0.0035781427286565304
origin_2023_04,macro_logit,original_upb,-0.7269651889801025
origin_2023_04,macro_logit,original_ltv,0.006496861111372709
origin_2023_04,macro_logit,original_interest_rate,-0.1888618916273117
origin_2023_04,macro_logit,original_loan_term,1.6708102226257324
origin_2023_04,macro_logit,number_of_borrowers,-0.2632531225681305
origin_2023_04,macro_logit,loan_age_months,-0.5131605863571167
origin_2023_04,macro_logit,remaining_months_to_legal_maturity,-1.7842683792114258
origin_2023_04,macro_logit,current_actual_upb,1.1148271560668945
origin_2023_04,macro_logit,current_interest_rate,0.44676509499549866
origin_2023_04,macro_logit,current_delinquency_months,0.11576871573925018
origin_2023_04,macro_logit,current_30_dpd,0.10835886746644974
origin_2023_04,macro_logit,current_60_dpd,0.08874673396348953
origin_2023_04,macro_logit,recent_30_dpd_3m,0.12410122901201248
origin_2023_04,macro_logit,recent_60_dpd_3m,0.049831293523311615
origin_2023_04,macro_logit,ever_30_dpd,0.17912477254867554
origin_2023_04,macro_logit,ever_60_dpd,-0.004721085540950298
origin_2023_04,macro_logit,months_since_30_dpd,-0.25387027859687805
origin_2023_04,macro_logit,months_since_60_dpd,0.08886735141277313
origin_2023_04,macro_logit,delinquent_30_months_3m,-0.10655368119478226
origin_2023_04,macro_logit,delinquent_30_months_6m,0.02023680880665779
origin_2023_04,macro_logit,delinquent_30_months_12m,0.05090378224849701
origin_2023_04,macro_logit,delinquent_60_months_3m,-0.031411148607730865
origin_2023_04,macro_logit,delinquent_60_months_6m,0.0038328643422573805
origin_2023_04,macro_logit,delinquent_60_months_12m,-0.32164934277534485
origin_2023_04,macro_logit,cured_from_30_dpd,0.009363767690956593
origin_2023_04,macro_logit,cumulative_30_dpd_cures,-0.0002946900494862348
origin_2023_04,macro_logit,months_since_30_dpd_cure,0.29504579305648804
origin_2023_04,macro_logit,inflation,1.0277997255325317
origin_2023_04,macro_logit,policy_rate,1.1264292001724243
origin_2023_04,macro_logit,unemployment,-0.7818617224693298
origin_2023_04,macro_logit,unemployment_change,0.28976500034332275
origin_2023_04,macro_logit,house_price_growth,-0.37223881483078003
origin_2023_04,macro_logit,mortgage_rate,-0.602563202381134
origin_2023_04,macro_logit,mortgage_spread,1.2356032133102417
origin_2023_04,macro_logit,long_rate,-0.9956284761428833
origin_2023_04,macro_logit,long_rate_change,0.4288409352302551
origin_2023_04,macro_logit,yield_curve,0.621907651424408
origin_2023_04,macro_logit,initial_claims,0.7337589263916016
origin_2023_04,macro_logit,initial_claims_change,-0.4271954298019409
origin_2023_04,macro_logit,payroll_growth,-0.037931058555841446
origin_2023_04,macro_logit,real_income_growth,0.07074436545372009
origin_2023_04,macro_logit,financial_conditions,-0.5423916578292847
origin_2023_04,macro_logit,consumer_sentiment,0.9842117428779602
origin_2023_04,macro_logit,consumer_sentiment_change,-0.2100844532251358
origin_2023_04,regime_aware_logit,credit_score,-0.7556682229042053
origin_2023_04,regime_aware_logit,mi_percent,0.12479013949632645
origin_2023_04,regime_aware_logit,number_of_units,0.015281138941645622
origin_2023_04,regime_aware_logit,original_cltv,0.05458398535847664
origin_2023_04,regime_aware_logit,original_dti,-0.013515839353203773
origin_2023_04,regime_aware_logit,original_upb,-0.35820430517196655
origin_2023_04,regime_aware_logit,original_ltv,0.04115638881921768
origin_2023_04,regime_aware_logit,original_interest_rate,-0.12980079650878906
origin_2023_04,regime_aware_logit,original_loan_term,1.467216968536377
origin_2023_04,regime_aware_logit,number_of_borrowers,-0.2577298879623413
origin_2023_04,regime_aware_logit,loan_age_months,-0.44888952374458313
