month_date,fold,p_stress,hard_stress,hmm_state,hmm_stress_state,selected_seed,train_end
2020-04-01,origin_2022_04,5.430213982874784e-212,0,1,0,71,2021-03-01
2020-05-01,origin_2022_04,8.465043341322477e-18,0,1,0,71,2021-03-01
2020-06-01,origin_2022_04,6.400113046960632e-12,0,1,0,71,2021-03-01
2020-07-01,origin_2022_04,5.6022334243815464e-21,0,1,0,71,2021-03-01
2020-08-01,origin_2022_04,5.53829550365292e-17,0,1,0,71,2021-03-01
2020-09-01,origin_2022_04,4.031876504020428e-21,0,1,0,71,2021-03-01
2020-10-01,origin_2022_04,2.0064234523990038e-27,0,1,0,71,2021-03-01
2020-11-01,origin_2022_04,1.1623660620750743e-36,0,1,0,71,2021-03-01
2020-12-01,origin_2022_04,4.710355210929277e-38,0,1,0,71,2021-03-01
2021-01-01,origin_2022_04,2.5261728671638287e-42,0,1,0,71,2021-03-01
2021-02-01,origin_2022_04,2.007123946249717e-46,0,1,0,71,2021-03-01
2021-03-01,origin_2022_04,1.043640566012988e-60,0,1,0,71,2021-03-01
2021-04-01,origin_2022_04,2.5240272973327116e-77,0,1,0,71,2021-03-01
2021-05-01,origin_2022_04,6.689671651204844e-110,0,1,0,71,2021-03-01
2021-06-01,origin_2022_04,3.920998186066614e-122,0,1,0,71,2021-03-01
2021-07-01,origin_2022_04,7.346108886402651e-124,0,1,0,71,2021-03-01
2021-08-01,origin_2022_04,3.257448884637741e-113,0,1,0,71,2021-03-01
2021-09-01,origin_2022_04,8.016998658638223e-100,0,1,0,71,2021-03-01
2021-10-01,origin_2022_04,4.838956205614278e-92,0,1,0,71,2021-03-01
2021-11-01,origin_2022_04,4.10053680137981e-97,0,1,0,71,2021-03-01
2021-12-01,origin_2022_04,3.457379555635165e-95,0,1,0,71,2021-03-01
2022-01-01,origin_2022_04,3.169425800275988e-86,0,1,0,71,2021-03-01
2022-02-01,origin_2022_04,4.969268835554684e-79,0,1,0,71,2021-03-01
2022-03-01,origin_2022_04,1.3511397453114593e-59,0,1,0,71,2021-03-01
2022-04-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2022-05-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2022-06-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2022-07-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2022-08-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2022-09-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2022-10-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2022-11-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2022-12-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2023-01-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2023-02-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2023-03-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2014-01-01,origin_2023_04,1.0,1,1,1,71,2022-03-01
2014-02-01,origin_2023_04,0.9999816255542427,1,1,1,71,2022-03-01
2014-03-01,origin_2023_04,0.9999996083666728,1,1,1,71,2022-03-01
2014-04-01,origin_2023_04,0.9999996679631239,1,1,1,71,2022-03-01
2014-05-01,origin_2023_04,0.9999995644065159,1,1,1,71,2022-03-01
2014-06-01,origin_2023_04,0.9999999080982953,1,1,1,71,2022-03-01
2014-07-01,origin_2023_04,0.9999995496522317,1,1,1,71,2022-03-01
2014-08-01,origin_2023_04,0.9999990976134282,1,1,1,71,2022-03-01
2014-09-01,origin_2023_04,0.999998974530488,1,1,1,71,2022-03-01
2014-10-01,origin_2023_04,0.9999789579341072,1,1,1,71,2022-03-01
2014-11-01,origin_2023_04,0.9999970163318059,1,1,1,71,2022-03-01
2014-12-01,origin_2023_04,0.9998423499061603,1,1,1,71,2022-03-01
2015-01-01,origin_2023_04,0.9989468726482795,1,1,1,71,2022-03-01
2015-02-01,origin_2023_04,0.9999751946719334,1,1,1,71,2022-03-01
2015-03-01,origin_2023_04,0.9999818264987982,1,1,1,71,2022-03-01
2015-04-01,origin_2023_04,0.9999031495448132,1,1,1,71,2022-03-01
2015-05-01,origin_2023_04,0.9999784359351704,1,1,1,71,2022-03-01
2015-06-01,origin_2023_04,0.9999551128681479,1,1,1,71,2022-03-01
2015-07-01,origin_2023_04,0.9999762062500118,1,1,1,71,2022-03-01
2015-08-01,origin_2023_04,0.9999273408118623,1,1,1,71,2022-03-01
2015-09-01,origin_2023_04,0.9996851905023331,1,1,1,71,2022-03-01
2015-10-01,origin_2023_04,0.9999033331018581,1,1,1,71,2022-03-01
2015-11-01,origin_2023_04,0.9999787007267967,1,1,1,71,2022-03-01
2015-12-01,origin_2023_04,0.9999427632869154,1,1,1,71,2022-03-01
2016-01-01,origin_2023_04,0.9998606475906342,1,1,1,71,2022-03-01
2016-02-01,origin_2023_04,0.999776316586782,1,1,1,71,2022-03-01
2016-03-01,origin_2023_04,0.9998619324887773,1,1,1,71,2022-03-01
2016-04-01,origin_2023_04,0.9997148402079332,1,1,1,71,2022-03-01
2016-05-01,origin_2023_04,0.9999025898581457,1,1,1,71,2022-03-01
